method,neighbor_idx,cosine_distance,text_snippet
GELD,2052,0.008281265445844843,"['double', 'dissociation', 'prosopagnosia', 'face', 'recognition', 'deficit', 'occurring', 'brain', 'damage', 'visual', 'object', 'agnosia', 'difficulty', 'recognizing', 'kinds', 'complex', 'objects', 'indicates', 'face', 'nonface', 'object', 'recognition', 'served', 'partially', 'independent', 'mechanisms', 'brain', 'dissociation', 'result', 'competitive', 'learning', 'mechanism', 'development', 'devotes', 'neural', 'resources', 'tasks', 'best', 'performing', 'studies', 'normal', 'adult', 'performance', 'face', 'object', 'recognition', 'tasks', 'indicate', 'face', 'recognition', 'primarily', 'configural', 'involving', 'low', 'spatial', 'frequency', 'information', 'present', 'stimulus', 'relatively', 'large', 'distances', 'object', 'recognition', 'primarily', 'featural', 'involving', 'analysis', 'objects', 'parts', 'using', 'local', 'high', 'spatial', 'frequency', 'information', 'feedforward', 'computational', 'model', 'visual', 'processing', 'modules', 'compete', 'classify', 'input', 'stimuli', 'module', 'receives', 'low', 'spatial', 'frequency', 'information', 'receives', 'high', 'spatial', 'frequency', 'information', 'lowfrequency', 'module', 'shows', 'strong', 'specialization', 'face', 'recognition', 'combined', 'face', 'identificationobject', 'classification', 'task', 'series', 'experiments', 'shows', 'fine', 'discrimination', 'necessary', 'distinguishing', 'members', 'visually', 'homoge', 'neous', 'class', 'faces', 'relies', 'heavily', 'low', 'spatial', 'frequencies', 'present', 'stimulus']"
GELD,1648,0.01370929944482202,"['strong', 'evidence', 'face', 'processing', 'localized', 'brain', 'double', 'dissociation', 'prosopagnosia', 'face', 'recognition', 'deficit', 'occurring', 'brain', 'damage', 'visual', 'object', 'agnosia', 'difficulty', 'recognizing', 'kinds', 'complex', 'objects', 'indicates', 'face', 'nonface', 'object', 'recognition', 'served', 'partially', 'independent', 'mechanisms', 'brain', 'neural', 'specialization', 'innate', 'learned', 'suggest', 'specialization', 'result', 'competitive', 'learning', 'mechanism', 'development', 'devotes', 'neural', 'resources', 'tasks', 'best', 'performing', 'suggest', 'specialization', 'arises', 'interaction', 'task', 'requirements', 'developmental', 'constraints', 'paper', 'present', 'feedforward', 'computational', 'model', 'visual', 'processing', 'modules', 'compete', 'classify', 'input', 'stimuli', 'module', 'receives', 'low', 'spatial', 'frequency', 'information', 'receives', 'high', 'spatial', 'frequency', 'information', 'task', 'identify', 'faces', 'simply', 'classifying', 'objects', 'low', 'frequency', 'network', 'shows', 'strong', 'specialization', 'faces', 'combination', 'tasks', 'inputs', 'shows', 'strong', 'specialization', 'results', 'support', 'idea', 'innatelyspecified', 'face', 'processing', 'module', 'unnecessary']"
GELD,2047,0.02706041282181748,"['strong', 'evidence', 'face', 'processing', 'brain', 'localized', 'double', 'dissociation', 'prosopagnosia', 'face', 'recognition', 'deficit', 'occurring', 'brain', 'damage', 'visual', 'object', 'agnosia', 'difficulty', 'recognizing', 'kinds', 'complex', 'objects', 'indicates', 'face', 'nonface', 'object', 'recognition', 'served', 'partially', 'independent', 'neural', 'mechanisms', 'chapter', 'use', 'computational', 'models', 'face', 'processing', 'specialization', 'apparently', 'underlying', 'prosopagnosia', 'visual', 'object', 'agnosia', 'attributed', 'relatively', 'simple', 'competitive', 'selection', 'mechanism', 'development', 'devotes', 'neural', 'resources', 'tasks', 'best', 'performing', 'developing', 'infants', 'need', 'perform', 'subordinate', 'classification', 'identification', 'faces', 'early', 'infants', 'low', 'visual', 'acuity', 'birth', 'inspired', 'schonen', 'mancinis', 'arguments', 'factors', 'like', 'bias', 'visual', 'develop', 'specialized', 'face', 'processor', 'jacobs', 'kosslyns', 'experiments', 'mixtures', 'experts', 'modeling', 'paradigm', 'provide', 'preliminary', 'computational', 'demonstration', 'theory', 'accounts', 'double', 'dissociation', 'face', 'object', 'processing', 'present', 'feedforward', 'computational', 'models', 'visual', 'processing', 'models', 'selection', 'mechanism', 'gating', 'network', 'mediates', 'competition', 'modules', 'attempting', 'classify', 'input', 'stimuli', 'model', 'modules', 'simple', 'unbiased', 'classifiers', 'competition', 'sufficient', 'achieve', 'specialization', 'damaging', 'module', 'impairs', 'models', 'face', 'recognition', 'object', 'recognition', 'damaging', 'module', 'impairs', 'models', 'object', 'recognition', 'face', 'recognition', 'model', 'ii', 'bias', 'modules', 'providing', 'low', 'spatial', 'frequency', 'information', 'high', 'spatial', 'frequency', 'information', 'case', 'models', 'task', 'subordinate', 'classification', 'faces', 'superordinate', 'classification', 'objects', 'low', 'spatial', 'frequency', 'network', 'shows', 'stronger', 'specialization', 'faces', 'combination', 'tasks', 'inputs', 'shows', 'strong', 'specialization', 'results', 'support', 'idea', 'resembling', 'face', 'processing', 'module', 'arise', 'natural', 'consequence', 'infants', 'developmental', 'environment', 'innately', 'specified']"
GELD,1020,0.4146015412910433,"['visor', 'neural', 'network', 'object', 'recognition', 'scene', 'analysis', 'learns', 'visual', 'schemas', 'examples', 'processing', 'visor', 'based', 'cooperation', 'competition', 'parallel', 'bottomup', 'topdown', 'activation', 'schema', 'representations', 'similar', 'principles', 'appear', 'underlie', 'human', 'visual', 'processing', 'visor', 'used', 'model', 'various', 'perceptual', 'phenomena', 'paper', 'focuses', 'analyzing', 'phenomena', 'simulation', 'visor', 'priming', 'mental', 'imagery', 'perceptual', 'reversal', 'circular', 'reaction', 'results', 'illustrate', 'similarity', 'subtle', 'differences', 'mechanisms', 'mediating', 'priming', 'mental', 'imagery', 'opposing', 'accounts', 'perceptual', 'reversal', 'neural', 'satiation', 'cognitive', 'factors', 'contribute', 'phenomenon', 'demonstrate', 'intentional', 'actions', 'gradually', 'learned', 'reflex', 'actions', 'successful', 'simulation', 'effects', 'suggests', 'similar', 'mechanisms', 'govern', 'human', 'visual', 'perception', 'learning', 'visual', 'schemas']"
GELD,1021,0.41565066322636146,"['novel', 'approach', 'object', 'recognition', 'scene', 'analysis', 'based', 'neural', 'network', 'representation', 'visual', 'schemas', 'described', 'given', 'input', 'scene', 'visor', 'focuses', 'attention', 'successively', 'component', 'schema', 'representations', 'cooperate', 'compete', 'match', 'inputs', 'schema', 'hierarchy', 'learned', 'examples', 'unsupervised', 'adaptation', 'reinforcement', 'learning', 'visor', 'learns', 'objects', 'important', 'identifying', 'scene', 'importance', 'spatial', 'relations', 'varies', 'depending', 'scene', 'inputs', 'differ', 'increasingly', 'schemas', 'visors', 'recognition', 'process', 'remarkably', 'robust', 'automatically', 'generates', 'measure', 'confidence', 'analysis']"
RLE,2052,0.014587858056404723,"['double', 'dissociation', 'prosopagnosia', 'face', 'recognition', 'deficit', 'occurring', 'brain', 'damage', 'visual', 'object', 'agnosia', 'difficulty', 'recognizing', 'kinds', 'complex', 'objects', 'indicates', 'face', 'nonface', 'object', 'recognition', 'served', 'partially', 'independent', 'mechanisms', 'brain', 'dissociation', 'result', 'competitive', 'learning', 'mechanism', 'development', 'devotes', 'neural', 'resources', 'tasks', 'best', 'performing', 'studies', 'normal', 'adult', 'performance', 'face', 'object', 'recognition', 'tasks', 'indicate', 'face', 'recognition', 'primarily', 'configural', 'involving', 'low', 'spatial', 'frequency', 'information', 'present', 'stimulus', 'relatively', 'large', 'distances', 'object', 'recognition', 'primarily', 'featural', 'involving', 'analysis', 'objects', 'parts', 'using', 'local', 'high', 'spatial', 'frequency', 'information', 'feedforward', 'computational', 'model', 'visual', 'processing', 'modules', 'compete', 'classify', 'input', 'stimuli', 'module', 'receives', 'low', 'spatial', 'frequency', 'information', 'receives', 'high', 'spatial', 'frequency', 'information', 'lowfrequency', 'module', 'shows', 'strong', 'specialization', 'face', 'recognition', 'combined', 'face', 'identificationobject', 'classification', 'task', 'series', 'experiments', 'shows', 'fine', 'discrimination', 'necessary', 'distinguishing', 'members', 'visually', 'homoge', 'neous', 'class', 'faces', 'relies', 'heavily', 'low', 'spatial', 'frequencies', 'present', 'stimulus']"
RLE,2047,0.03301625025206123,"['strong', 'evidence', 'face', 'processing', 'brain', 'localized', 'double', 'dissociation', 'prosopagnosia', 'face', 'recognition', 'deficit', 'occurring', 'brain', 'damage', 'visual', 'object', 'agnosia', 'difficulty', 'recognizing', 'kinds', 'complex', 'objects', 'indicates', 'face', 'nonface', 'object', 'recognition', 'served', 'partially', 'independent', 'neural', 'mechanisms', 'chapter', 'use', 'computational', 'models', 'face', 'processing', 'specialization', 'apparently', 'underlying', 'prosopagnosia', 'visual', 'object', 'agnosia', 'attributed', 'relatively', 'simple', 'competitive', 'selection', 'mechanism', 'development', 'devotes', 'neural', 'resources', 'tasks', 'best', 'performing', 'developing', 'infants', 'need', 'perform', 'subordinate', 'classification', 'identification', 'faces', 'early', 'infants', 'low', 'visual', 'acuity', 'birth', 'inspired', 'schonen', 'mancinis', 'arguments', 'factors', 'like', 'bias', 'visual', 'develop', 'specialized', 'face', 'processor', 'jacobs', 'kosslyns', 'experiments', 'mixtures', 'experts', 'modeling', 'paradigm', 'provide', 'preliminary', 'computational', 'demonstration', 'theory', 'accounts', 'double', 'dissociation', 'face', 'object', 'processing', 'present', 'feedforward', 'computational', 'models', 'visual', 'processing', 'models', 'selection', 'mechanism', 'gating', 'network', 'mediates', 'competition', 'modules', 'attempting', 'classify', 'input', 'stimuli', 'model', 'modules', 'simple', 'unbiased', 'classifiers', 'competition', 'sufficient', 'achieve', 'specialization', 'damaging', 'module', 'impairs', 'models', 'face', 'recognition', 'object', 'recognition', 'damaging', 'module', 'impairs', 'models', 'object', 'recognition', 'face', 'recognition', 'model', 'ii', 'bias', 'modules', 'providing', 'low', 'spatial', 'frequency', 'information', 'high', 'spatial', 'frequency', 'information', 'case', 'models', 'task', 'subordinate', 'classification', 'faces', 'superordinate', 'classification', 'objects', 'low', 'spatial', 'frequency', 'network', 'shows', 'stronger', 'specialization', 'faces', 'combination', 'tasks', 'inputs', 'shows', 'strong', 'specialization', 'results', 'support', 'idea', 'resembling', 'face', 'processing', 'module', 'arise', 'natural', 'consequence', 'infants', 'developmental', 'environment', 'innately', 'specified']"
RLE,1648,0.04051957555462393,"['strong', 'evidence', 'face', 'processing', 'localized', 'brain', 'double', 'dissociation', 'prosopagnosia', 'face', 'recognition', 'deficit', 'occurring', 'brain', 'damage', 'visual', 'object', 'agnosia', 'difficulty', 'recognizing', 'kinds', 'complex', 'objects', 'indicates', 'face', 'nonface', 'object', 'recognition', 'served', 'partially', 'independent', 'mechanisms', 'brain', 'neural', 'specialization', 'innate', 'learned', 'suggest', 'specialization', 'result', 'competitive', 'learning', 'mechanism', 'development', 'devotes', 'neural', 'resources', 'tasks', 'best', 'performing', 'suggest', 'specialization', 'arises', 'interaction', 'task', 'requirements', 'developmental', 'constraints', 'paper', 'present', 'feedforward', 'computational', 'model', 'visual', 'processing', 'modules', 'compete', 'classify', 'input', 'stimuli', 'module', 'receives', 'low', 'spatial', 'frequency', 'information', 'receives', 'high', 'spatial', 'frequency', 'information', 'task', 'identify', 'faces', 'simply', 'classifying', 'objects', 'low', 'frequency', 'network', 'shows', 'strong', 'specialization', 'faces', 'combination', 'tasks', 'inputs', 'shows', 'strong', 'specialization', 'results', 'support', 'idea', 'innatelyspecified', 'face', 'processing', 'module', 'unnecessary']"
RLE,1020,0.42617437630550825,"['visor', 'neural', 'network', 'object', 'recognition', 'scene', 'analysis', 'learns', 'visual', 'schemas', 'examples', 'processing', 'visor', 'based', 'cooperation', 'competition', 'parallel', 'bottomup', 'topdown', 'activation', 'schema', 'representations', 'similar', 'principles', 'appear', 'underlie', 'human', 'visual', 'processing', 'visor', 'used', 'model', 'various', 'perceptual', 'phenomena', 'paper', 'focuses', 'analyzing', 'phenomena', 'simulation', 'visor', 'priming', 'mental', 'imagery', 'perceptual', 'reversal', 'circular', 'reaction', 'results', 'illustrate', 'similarity', 'subtle', 'differences', 'mechanisms', 'mediating', 'priming', 'mental', 'imagery', 'opposing', 'accounts', 'perceptual', 'reversal', 'neural', 'satiation', 'cognitive', 'factors', 'contribute', 'phenomenon', 'demonstrate', 'intentional', 'actions', 'gradually', 'learned', 'reflex', 'actions', 'successful', 'simulation', 'effects', 'suggests', 'similar', 'mechanisms', 'govern', 'human', 'visual', 'perception', 'learning', 'visual', 'schemas']"
RLE,1021,0.42730608483989163,"['novel', 'approach', 'object', 'recognition', 'scene', 'analysis', 'based', 'neural', 'network', 'representation', 'visual', 'schemas', 'described', 'given', 'input', 'scene', 'visor', 'focuses', 'attention', 'successively', 'component', 'schema', 'representations', 'cooperate', 'compete', 'match', 'inputs', 'schema', 'hierarchy', 'learned', 'examples', 'unsupervised', 'adaptation', 'reinforcement', 'learning', 'visor', 'learns', 'objects', 'important', 'identifying', 'scene', 'importance', 'spatial', 'relations', 'varies', 'depending', 'scene', 'inputs', 'differ', 'increasingly', 'schemas', 'visors', 'recognition', 'process', 'remarkably', 'robust', 'automatically', 'generates', 'measure', 'confidence', 'analysis']"
MUSAE,2052,0.0361781120300293,"['double', 'dissociation', 'prosopagnosia', 'face', 'recognition', 'deficit', 'occurring', 'brain', 'damage', 'visual', 'object', 'agnosia', 'difficulty', 'recognizing', 'kinds', 'complex', 'objects', 'indicates', 'face', 'nonface', 'object', 'recognition', 'served', 'partially', 'independent', 'mechanisms', 'brain', 'dissociation', 'result', 'competitive', 'learning', 'mechanism', 'development', 'devotes', 'neural', 'resources', 'tasks', 'best', 'performing', 'studies', 'normal', 'adult', 'performance', 'face', 'object', 'recognition', 'tasks', 'indicate', 'face', 'recognition', 'primarily', 'configural', 'involving', 'low', 'spatial', 'frequency', 'information', 'present', 'stimulus', 'relatively', 'large', 'distances', 'object', 'recognition', 'primarily', 'featural', 'involving', 'analysis', 'objects', 'parts', 'using', 'local', 'high', 'spatial', 'frequency', 'information', 'feedforward', 'computational', 'model', 'visual', 'processing', 'modules', 'compete', 'classify', 'input', 'stimuli', 'module', 'receives', 'low', 'spatial', 'frequency', 'information', 'receives', 'high', 'spatial', 'frequency', 'information', 'lowfrequency', 'module', 'shows', 'strong', 'specialization', 'face', 'recognition', 'combined', 'face', 'identificationobject', 'classification', 'task', 'series', 'experiments', 'shows', 'fine', 'discrimination', 'necessary', 'distinguishing', 'members', 'visually', 'homoge', 'neous', 'class', 'faces', 'relies', 'heavily', 'low', 'spatial', 'frequencies', 'present', 'stimulus']"
MUSAE,1648,0.06494343280792236,"['strong', 'evidence', 'face', 'processing', 'localized', 'brain', 'double', 'dissociation', 'prosopagnosia', 'face', 'recognition', 'deficit', 'occurring', 'brain', 'damage', 'visual', 'object', 'agnosia', 'difficulty', 'recognizing', 'kinds', 'complex', 'objects', 'indicates', 'face', 'nonface', 'object', 'recognition', 'served', 'partially', 'independent', 'mechanisms', 'brain', 'neural', 'specialization', 'innate', 'learned', 'suggest', 'specialization', 'result', 'competitive', 'learning', 'mechanism', 'development', 'devotes', 'neural', 'resources', 'tasks', 'best', 'performing', 'suggest', 'specialization', 'arises', 'interaction', 'task', 'requirements', 'developmental', 'constraints', 'paper', 'present', 'feedforward', 'computational', 'model', 'visual', 'processing', 'modules', 'compete', 'classify', 'input', 'stimuli', 'module', 'receives', 'low', 'spatial', 'frequency', 'information', 'receives', 'high', 'spatial', 'frequency', 'information', 'task', 'identify', 'faces', 'simply', 'classifying', 'objects', 'low', 'frequency', 'network', 'shows', 'strong', 'specialization', 'faces', 'combination', 'tasks', 'inputs', 'shows', 'strong', 'specialization', 'results', 'support', 'idea', 'innatelyspecified', 'face', 'processing', 'module', 'unnecessary']"
