method,neighbor_idx,distance,text_snippet
GELD,357,0.16141438384135393,"['function', 'unknown', 'biological', 'sequence', 'accurately', 'inferred', 'identifying', 'sequences', 'homologous', 'original', 'sequence', 'given', 'query', 'set', 'known', 'homologs', 'exist', 'general', 'classes', 'techniques', 'finding', 'additional', 'homologs', 'pairwise', 'sequence', 'comparisons', 'motif', 'analysis', 'hidden', 'markov', 'modeling', 'pair', 'wise', 'sequence', 'comparisons', 'typically', 'employed', 'single', 'query', 'sequence', 'known', 'hidden', 'markov', 'models', 'hmms', 'hand', 'usually', 'trained', 'sets', 'sequences', 'motif', 'based', 'methods', 'fall', 'extremes']"
GELD,443,0.19333041419691455,"['statistical', 'decision', 'theory', 'provides', 'principled', 'way', 'estimate', 'amino', 'acid', 'frequencies', 'conserved', 'positions', 'protein', 'family', 'goal', 'minimize', 'risk', 'function', 'expected', 'squarederror', 'distance', 'estimates', 'true', 'population', 'frequencies', 'minimumrisk', 'estimates', 'obtained', 'adding', 'optimal', 'number', 'pseudocounts', 'observed', 'data', 'formulas', 'presented', 'pseudocounts', 'based', 'marginal', 'amino', 'acid', 'frequencies', 'pseudocounts', 'based', 'observed', 'data', 'experimental', 'results', 'profiles', 'constructed', 'using', 'minimalrisk', 'estimates', 'discriminating', 'constructed', 'using', 'existing', 'methods']"
GELD,617,0.21024930005196815,"['paper', 'presents', 'mathematical', 'foundations', 'dirichlet', 'mixtures', 'used', 'improve', 'database', 'search', 'results', 'homologous', 'sequences', 'variable', 'number', 'sequences', 'protein', 'family', 'domain', 'known', 'present', 'method', 'condensing', 'information', 'protein', 'database', 'mixture', 'dirichlet', 'densities', 'mixtures', 'designed', 'combined', 'observed', 'amino', 'acid', 'frequencies', 'form', 'estimates', 'expected', 'amino', 'acid', 'probabilities', 'position', 'profile', 'hidden', 'markov', 'model', 'statistical', 'model', 'estimates', 'statistical', 'model', 'greater', 'generalization', 'capacity', 'remotely', 'related', 'family', 'members', 'reliably', 'recognized', 'model', 'dirichlet', 'mixtures', 'shown', 'outperform', 'substitution', 'matrices', 'methods', 'computing', 'expected', 'amino', 'acid', 'distributions', 'database', 'search', 'resulting', 'fewer', 'false', 'positives', 'false', 'negatives', 'families', 'tested', 'paper', 'corrects', 'previously', 'published', 'formula', 'estimating', 'expected', 'probabilities', 'contains', 'complete', 'derivations', 'dirichlet', 'mixture', 'formulas', 'methods', 'optimizing', 'mixtures', 'match', 'particular', 'databases', 'suggestions', 'efficient', 'implementation']"
GELD,211,0.24553038903566915,"['bayesian', 'method', 'estimating', 'amino', 'acid', 'distributions', 'states', 'hidden', 'markov', 'model', 'hmm', 'protein', 'family', 'columns', 'multiple', 'alignment', 'family', 'introduced', 'method', 'uses', 'dirichlet', 'mixture', 'densities', 'priors', 'amino', 'acid', 'distributions', 'mixture', 'densities', 'determined', 'examination', 'previously', 'constructed', 'hmms', 'multiple', 'alignments', 'shown', 'bayesian', 'method', 'improve', 'quality', 'hmms', 'produced', 'small', 'training', 'sets', 'specific', 'experiments', 'efhand', 'motif', 'reported', 'priors', 'shown', 'produce', 'hmms', 'higher', 'likelihood', 'unseen', 'data', 'fewer', 'false', 'positives', 'false', 'negatives', 'database', 'search', 'task']"
GELD,11,0.28161407830283613,"['hidden', 'markov', 'models', 'hmms', 'applied', 'problems', 'statistical', 'modeling', 'database', 'searching', 'multiple', 'sequence', 'alignment', 'protein', 'families', 'protein', 'domains', 'methods', 'demonstrated', 'globin', 'family', 'protein', 'kinase', 'catalytic', 'domain', 'efhand', 'calcium', 'binding', 'motif', 'case', 'parameters', 'hmm', 'estimated', 'training', 'set', 'unaligned', 'sequences', 'hmm', 'built', 'used', 'obtain', 'multiple', 'alignment', 'training', 'sequences', 'used', 'search', 'swissprot', 'database', 'sequences', 'members', 'given', 'protein', 'family', 'contain', 'given', 'domain', 'hmm', 'produces', 'multiple', 'alignments', 'good', 'quality', 'agree', 'closely', 'alignments', 'produced', 'programs', 'incorporate', 'threedimensional', 'structural', 'information', 'employed', 'discrimination', 'tests', 'examining', 'closely', 'sequences', 'database', 'fit', 'globin', 'kinase', 'efhand', 'hmms', 'hmm', 'able', 'distinguish', 'members', 'families', 'nonmembers', 'high', 'degree', 'accuracy', 'hmm', 'profilesearch', 'technique', 'used', 'search', 'relationships', 'protein', 'sequence', 'multiply', 'aligned', 'sequences', 'perform', 'better', 'tests', 'prosite', 'dictionary', 'sites', 'patterns', 'proteins', 'hmm', 'appears', 'slight', 'advantage']"
RLE,2199,0.22401970825730994,"['investigate', 'space', 'protein', 'sequences', 'combine', 'standard', 'measures', 'similarity', 'sw', 'fasta', 'blast', 'associate', 'sequence', 'exhaustive', 'list', 'neighboring', 'sequences', 'lists', 'induce', 'weighted', 'directed', 'graph', 'vertices', 'sequences', 'weight', 'edge', 'connecting', 'sequences', 'represents', 'degree', 'similarity', 'graph', 'encodes', 'fundamental', 'properties', 'sequence', 'space', 'look', 'clusters', 'related', 'proteins', 'graph', 'clusters', 'correspond', 'strongly', 'connected', 'sets', 'vertices', 'main', 'ideas', 'underlie', 'work', 'interesting', 'homologies', 'proteins', 'deduced', 'transitivity', 'ii', 'transitivity', 'applied', 'restrictively', 'order', 'prevent', 'unrelated', 'proteins', 'clustering', 'analysis', 'starts', 'conservative', 'classification', 'based', 'significant', 'similarities', 'classes', 'subsequently', 'classes', 'merged', 'include', 'significant', 'similarities', 'merging', 'performed', 'novel', 'phase', 'algorithm', 'algorithm', 'identifies', 'groups', 'possibly', 'related', 'clusters', 'based', 'transitivity', 'strong', 'connectivity', 'using', 'local', 'considerations', 'merges', 'global', 'test', 'applied', 'identify', 'nuclei', 'strong', 'relationships', 'groups', 'clusters', 'classification', 'refined', 'accordingly', 'process', 'takes', 'place', 'varying', 'thresholds', 'statistical', 'significance', 'step', 'algorithm', 'applied', 'classes', 'previous', 'classification', 'obtain', 'permissive', 'threshold', 'consequently', 'hierarchical', 'organization', 'proteins', 'obtained', 'resulting', 'classification', 'splits', 'space', 'protein', 'sequences', 'defined', 'groups', 'proteins', 'results', 'automatically', 'induced', 'sets', 'proteins', 'closely', 'correlated', 'natural', 'biological', 'families', 'super', 'families', 'hierarchical', 'organization', 'reveals', 'finer', 'subfamilies', 'make', 'known', 'families', 'proteins', 'interesting', 'relations', 'protein', 'families', 'hierarchical', 'organization', 'proposed', 'considered', 'map', 'space', 'protein', 'sequences', 'interactive', 'web', 'site', 'including', 'results', 'analysis', 'constructed', 'accessible', 'httpwwwprotomapcshujiacil']"
RLE,1661,0.2283969479612651,"['paper', 'propose', 'efficient', 'reliable', 'shotgun', 'sequence', 'assembly', 'algorithm', 'based', 'fingerprinting', 'scheme', 'robust', 'noise', 'repetitive', 'sequences', 'data', 'algorithm', 'uses', 'exact', 'matches', 'short', 'patterns', 'randomly', 'selected', 'fragment', 'data', 'identify', 'fragment', 'overlaps', 'construct', 'overlap', 'map', 'finally', 'deliver', 'consensus', 'sequence', 'statistical', 'clues', 'explicit', 'approach', 'easily', 'exploited', 'correctly', 'assemble', 'results', 'presence', 'extensive', 'repetitive', 'sequences', 'approach', 'exceptionally', 'fast', 'practice', 'successfully', 'assembled', 'mycoplasma', 'genitalium', 'genome', 'approximately', 'kbps', 'roughly', 'minutes', 'mb', 'mhz', 'pentium', 'pro', 'cpu', 'time', 'real', 'shotgun', 'data', 'existing', 'algorithms', 'expected', 'run', 'hours', 'day', 'data', 'experiments', 'shotgun', 'data', 'synthetically', 'prepared', 'real', 'dna', 'sequences', 'wide', 'range', 'organisms', 'including', 'human', 'dna', 'containing', 'extensive', 'repeating', 'regions', 'demonstrate', 'algorithms', 'robustness', 'noise', 'presence', 'repetitive', 'sequences', 'example', 'correctly', 'assembled', 'kbp', 'human', 'dna', 'sequence', 'minutes', 'mb', 'mhz', 'pentium', 'pro', 'cpu', 'time', 'fl', 'support', 'research', 'provided', 'office', 'naval', 'research', 'grant', 'n']"
RLE,1169,0.23251638054481422,"['paper', 'study', 'dual', 'version', 'ridge', 'regression', 'procedure', 'allows', 'perform', 'nonlinear', 'regression', 'constructing', 'linear', 'regression', 'function', 'high', 'dimensional', 'feature', 'space', 'feature', 'space', 'representation', 'result', 'large', 'increase', 'number', 'parameters', 'used', 'algorithm', 'order', 'combat', 'curse', 'dimensionality', 'algorithm', 'allows', 'use', 'kernel', 'functions', 'used', 'support', 'vector', 'methods', 'discuss', 'powerful', 'family', 'kernel', 'functions', 'constructed', 'using', 'anova', 'decomposition', 'method', 'kernel', 'corresponding', 'splines', 'infinite', 'number', 'nodes', 'paper', 'introduces', 'regression', 'estimation', 'algorithm', 'combination', 'elements', 'dual', 'version', 'ridge', 'regression', 'applied', 'anova', 'enhancement', 'infinitenode', 'splines', 'experimental', 'results', 'presented', 'based', 'boston', 'housing', 'data', 'set', 'indicate', 'performance', 'algorithm', 'relative', 'algorithms']"
RLE,1358,0.23275918869124732,"['potential', 'combined', 'ersjers', 'sar', 'images', 'land', 'cover', 'classification', 'demonstrated', 'raco', 'test', 'site', 'michigan', 'recent', 'papers', 'articles', 'goal', 'develop', 'classification', 'algorithm', 'stable', 'terms', 'applicability', 'different', 'geographical', 'regions', 'unlike', 'optical', 'remote', 'sensing', 'techniques', 'radar', 'remote', 'sensing', 'provide', 'calibrated', 'data', 'image', 'signal', 'solely', 'determined', 'physical', 'structural', 'electrical', 'properties', 'targets', 'earths', 'surface', 'near', 'subsurface', 'classifier', 'based', 'radar', 'signatures', 'object', 'classes', 'applicable', 'new', 'calibrated', 'images', 'need', 'train', 'classifier', 'article', 'discusses', 'design', 'applicability', 'classification', 'algorithm', 'based', 'calibrated', 'radar', 'signatures', 'measured', 'ers', 'cband', 'vv', 'polarized', 'jers', 'lband', 'hh', 'polarized', 'sar', 'image', 'data', 'applicability', 'compared', 'different', 'test', 'sites', 'raco', 'michigan', 'cedar', 'creek', 'lter', 'site', 'minnesota', 'classes', 'separate', 'certain', 'boundary', 'conditions', 'like', 'comparable', 'seasonality', 'soil', 'moisture', 'conditions', 'observed']"
RLE,1400,0.23299126167294332,"['donoho', 'johnstones', 'waveshrink', 'procedure', 'proven', 'valuable', 'signal', 'denoising', 'nonparametric', 'regression', 'waveshrink', 'based', 'principle', 'shrinking', 'wavelet', 'coefficients', 'zero', 'remove', 'noise', 'waveshrink', 'broad', 'asymptotic', 'nearoptimality', 'properties', 'paper', 'introduce', 'new', 'shrinkage', 'scheme', 'semisoft', 'generalizes', 'hard', 'soft', 'shrinkage', 'study', 'properties', 'shrinkage', 'functions', 'demonstrate', 'semisoft', 'shrinkage', 'offers', 'advantages', 'hard', 'shrinkage', 'uniformly', 'smaller', 'risk', 'sensitivity', 'small', 'perturbations', 'data', 'soft', 'shrinkage', 'smaller', 'bias', 'overall', 'l', 'risk', 'construct', 'approximate', 'pointwise', 'confidence', 'intervals', 'waveshrink', 'address', 'problem', 'threshold', 'selection']"
SINE,617,9.306528091430664,"['paper', 'presents', 'mathematical', 'foundations', 'dirichlet', 'mixtures', 'used', 'improve', 'database', 'search', 'results', 'homologous', 'sequences', 'variable', 'number', 'sequences', 'protein', 'family', 'domain', 'known', 'present', 'method', 'condensing', 'information', 'protein', 'database', 'mixture', 'dirichlet', 'densities', 'mixtures', 'designed', 'combined', 'observed', 'amino', 'acid', 'frequencies', 'form', 'estimates', 'expected', 'amino', 'acid', 'probabilities', 'position', 'profile', 'hidden', 'markov', 'model', 'statistical', 'model', 'estimates', 'statistical', 'model', 'greater', 'generalization', 'capacity', 'remotely', 'related', 'family', 'members', 'reliably', 'recognized', 'model', 'dirichlet', 'mixtures', 'shown', 'outperform', 'substitution', 'matrices', 'methods', 'computing', 'expected', 'amino', 'acid', 'distributions', 'database', 'search', 'resulting', 'fewer', 'false', 'positives', 'false', 'negatives', 'families', 'tested', 'paper', 'corrects', 'previously', 'published', 'formula', 'estimating', 'expected', 'probabilities', 'contains', 'complete', 'derivations', 'dirichlet', 'mixture', 'formulas', 'methods', 'optimizing', 'mixtures', 'match', 'particular', 'databases', 'suggestions', 'efficient', 'implementation']"
SINE,211,9.339029312133789,"['bayesian', 'method', 'estimating', 'amino', 'acid', 'distributions', 'states', 'hidden', 'markov', 'model', 'hmm', 'protein', 'family', 'columns', 'multiple', 'alignment', 'family', 'introduced', 'method', 'uses', 'dirichlet', 'mixture', 'densities', 'priors', 'amino', 'acid', 'distributions', 'mixture', 'densities', 'determined', 'examination', 'previously', 'constructed', 'hmms', 'multiple', 'alignments', 'shown', 'bayesian', 'method', 'improve', 'quality', 'hmms', 'produced', 'small', 'training', 'sets', 'specific', 'experiments', 'efhand', 'motif', 'reported', 'priors', 'shown', 'produce', 'hmms', 'higher', 'likelihood', 'unseen', 'data', 'fewer', 'false', 'positives', 'false', 'negatives', 'database', 'search', 'task']"
SINE,357,9.369463920593262,"['function', 'unknown', 'biological', 'sequence', 'accurately', 'inferred', 'identifying', 'sequences', 'homologous', 'original', 'sequence', 'given', 'query', 'set', 'known', 'homologs', 'exist', 'general', 'classes', 'techniques', 'finding', 'additional', 'homologs', 'pairwise', 'sequence', 'comparisons', 'motif', 'analysis', 'hidden', 'markov', 'modeling', 'pair', 'wise', 'sequence', 'comparisons', 'typically', 'employed', 'single', 'query', 'sequence', 'known', 'hidden', 'markov', 'models', 'hmms', 'hand', 'usually', 'trained', 'sets', 'sequences', 'motif', 'based', 'methods', 'fall', 'extremes']"
SINE,1972,9.634040832519531,"['paper', 'argues', 'task', 'matching', 'casebased', 'reasoning', 'improved', 'comparing', 'new', 'cases', 'portions', 'precedents', 'example', 'presented', 'illustrates', 'combining', 'portions', 'multiple', 'precedents', 'permit', 'new', 'cases', 'resolved', 'indeterminate', 'new', 'cases', 'compared', 'entire', 'precedents', 'uses', 'portions', 'precedents', 'legal', 'analysis', 'domain', 'texas', 'workers', 'compensation', 'law', 'grebe', 'described', 'examples', 'grebes', 'analysis', 'combine', 'reasoning', 'steps', 'multiple', 'precedents', 'presented']"
SINE,1958,9.638239860534668,"['paper', 'second', 'series', 'problem', 'estimating', 'function', 'probability', 'distribution', 'finite', 'set', 'samples', 'distribution', 'paper', 'bayes', 'estimator', 'function', 'probability', 'distribution', 'introduced', 'optimal', 'properties', 'bayes', 'estimator', 'discussed', 'bayes', 'frequencycounts', 'estimators', 'shannon', 'entropy', 'derived', 'graphically', 'contrasted', 'current', 'paper', 'analysis', 'paper', 'extended', 'derivation', 'bayes', 'estimators', 'functions', 'statistics', 'information', 'theory', 'functions', 'powers', 'mutual', 'information', 'chisquared', 'tests', 'independence', 'variance', 'covariance', 'average', 'finding', 'bayes', 'estimators', 'functions', 'requires', 'extensions', 'analytical', 'techniques', 'developed', 'paper', 'extensions', 'form', 'main', 'body', 'paper', 'paper', 'extends', 'analysis', 'ways', 'example', 'enlarging', 'class', 'potential', 'priors', 'uniform', 'prior', 'assumed', 'paper', 'particular', 'use', 'entropic', 'dirichlet', 'priors', 'considered']"
